gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2017-09-01,OFF_PEAK,"Passenger Wait Time",87577.665004406,95280.543439899,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2017-09-01,PEAK,"Passenger Wait Time",69249.463386995,81250.620137678,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2017-09-01,OFF_PEAK,"Passenger Wait Time",88860.076696179,99302.966749246,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2017-09-01,PEAK,"Passenger Wait Time",65643.722042418,74725.427611861,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2017-09-01,PEAK,"Passenger Wait Time",8555.695366377,10195.029397270,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2017-09-01,OFF_PEAK,"Passenger Wait Time",15569.295286574,19275.135273634,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2017-09-01,OFF_PEAK,"Passenger Wait Time",21567.295559231,27876.134084897,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2017-09-01,PEAK,"Passenger Wait Time",13309.716937699,16631.597394450,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2017-09-01,OFF_PEAK,"Passenger Wait Time",22401.888737054,27783.406846971,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2017-09-01,PEAK,"Passenger Wait Time",14760.631369817,18292.317472062,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2017-09-01,OFF_PEAK,"Passenger Wait Time",26826.387104346,34833.618641104,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2017-09-01,PEAK,"Passenger Wait Time",18404.793442000,23012.226072430,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2017-09-01,OFF_PEAK,"Passenger Wait Time",39562.496690273,42931.910958691,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2017-09-01,PEAK,"Passenger Wait Time",26437.279824108,27574.146186185,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2017-09-01,OFF_PEAK,"Headway / Schedule Adherence",676.000000000,900.000000000,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2017-09-01,PEAK,"Headway / Schedule Adherence",154.000000000,197.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2017-09-01,OFF_PEAK,"Headway / Schedule Adherence",319.000000000,395.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2017-09-01,PEAK,"Headway / Schedule Adherence",225.000000000,258.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2017-09-01,PEAK,"Headway / Schedule Adherence",443.000000000,583.000000000,
